,imdb_id,movie_name,sentiment_vader_original,sentiment_vader
0,tt0316654,Spider Man 2 2004,77.30975,92.30975
1,tt10872600,Spider Man No Way Home,70.44378378378379,85.44378378378379
2,tt1386697,Suicide Squad,63.852,43.852
3,tt1502712,Fantastic Four 2015,58.90080000000001,23.90080000000001
4,tt2015381,Guardians of the Galaxy,78.428,93.428
5,tt2975590,Batman v Superman,60.8745,25.874499999999998
6,tt3315342,Logan,64.6065,64.6065
7,tt3501632,Thor Ragnarok,65.82083333333334,65.82083333333334
8,tt5108870,Morbius,66.12878787878789,66.12878787878789
9,tt6565702,Dark Phoenix,56.612857142857145,21.612857142857145
