,Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Depression
56,18.0,6.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,1,0,2,3,0,0
58,23.0,7.0,1,0,0,1,1,1,3,0,3,3,2,1,0,1,0,2,2,1,1,1,2,0
59,23.0,1.0,1,1,0,0,0,2,2,2,1,0,1,2,1,1,3,0,2,3,1,2,3,0
60,19.0,1.0,0,1,0,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0
61,22.0,1.0,0,1,0,1,0,1,0,2,1,0,0,3,0,0,0,0,2,1,0,3,1,1
62,15.0,2.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,3,2,0
63,25.0,2.0,0,0,0,0,1,1,1,1,2,0,1,0,1,0,1,3,2,0,1,3,3,0
64,32.0,5.0,1,0,0,0,1,2,0,1,2,0,2,1,1,0,0,3,3,3,1,3,0,1
65,36.0,6.0,1,0,0,1,1,3,0,1,3,0,0,0,2,0,1,3,1,0,0,2,3,0
66,24.0,3.0,0,0,0,1,1,2,2,0,1,0,0,1,0,1,0,3,3,0,0,3,0,0
67,29.0,4.0,0,0,0,1,0,1,2,1,0,1,3,1,1,1,1,0,2,2,2,2,0,1
68,41.0,3.0,1,1,1,1,1,2,0,2,0,0,1,1,0,0,2,2,2,0,1,1,0,1
69,36.0,2.0,1,1,1,1,0,2,1,3,2,1,1,3,0,0,0,3,2,1,1,3,2,0
70,19.0,3.0,1,0,0,1,0,1,2,2,1,0,2,1,0,2,2,2,2,3,3,3,1,1
71,31.0,2.0,1,0,0,1,1,0,2,0,1,2,0,2,1,0,0,2,3,0,0,3,0,0
72,16.0,4.0,1,0,0,0,1,2,1,1,2,0,1,1,1,1,2,2,3,1,1,3,3,1
73,26.0,2.0,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,1,3,3,1,0
74,22.0,0.5,0,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,2,2,3,0,0,1
75,16.0,5.0,1,1,1,1,1,2,1,0,0,1,1,3,3,1,0,0,3,1,3,2,0,1
76,17.0,5.0,1,0,0,1,1,0,2,1,1,0,0,0,0,0,0,3,1,0,0,3,2,0
77,19.0,10.0,1,0,0,1,1,0,1,3,0,0,2,0,3,0,0,0,1,3,1,0,0,0
78,18.0,2.0,0,0,0,0,1,2,1,3,0,1,1,1,0,0,2,0,3,1,2,1,3,0
79,18.0,4.0,1,0,0,1,1,0,0,1,0,0,3,2,2,1,2,0,3,3,3,2,1,1
80,19.0,5.0,0,1,1,1,1,1,0,0,1,0,2,3,0,3,1,2,1,2,1,3,1,1
81,19.0,3.0,1,0,0,1,0,1,0,1,0,0,3,3,1,2,3,0,2,2,2,1,3,0
82,22.0,2.0,1,0,0,1,1,0,0,3,0,0,2,0,3,0,0,0,2,0,2,3,1,1
83,16.0,2.5,1,1,1,1,1,1,2,0,3,0,1,2,0,2,2,1,3,1,0,3,1,0
84,19.0,3.0,1,0,0,1,1,1,0,2,0,0,3,1,3,1,1,1,3,3,3,1,3,0
85,37.0,1.0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,2,1,1,3,0,1
86,14.0,7.0,1,1,0,0,0,1,0,3,0,0,0,3,0,2,0,0,2,0,0,3,3,0
87,33.0,1.0,0,0,0,0,1,1,2,2,0,0,2,0,0,1,0,3,2,1,2,2,2,0
88,26.0,1.0,0,0,0,0,0,1,2,0,2,0,3,3,0,0,0,3,3,3,3,3,0,0
89,32.0,3.0,1,0,0,0,0,0,0,1,0,0,3,0,0,2,1,0,2,3,3,1,0,0
90,30.0,5.0,1,1,0,1,0,2,1,0,2,0,1,0,0,0,0,3,2,0,0,3,0,0
91,43.0,6.0,1,1,1,1,1,2,1,3,1,1,1,1,2,1,3,1,2,1,0,2,3,0
92,24.0,4.0,1,0,0,1,1,3,1,1,0,0,1,1,0,0,0,2,3,1,0,3,1,0
93,36.0,1.0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0
94,19.0,4.0,1,0,0,1,0,1,0,1,0,0,1,2,0,0,2,0,2,0,0,1,3,0
95,22.0,10.0,1,0,0,1,1,1,3,0,3,0,0,1,0,0,0,3,1,0,1,2,2,0
96,20.0,3.0,0,0,1,1,1,1,2,3,0,0,2,0,1,0,2,0,2,0,2,2,1,0
97,31.0,2.0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,2,2,0,1,3,0,1
98,19.0,4.0,1,0,0,1,1,2,0,0,0,0,2,2,1,0,0,2,2,1,2,3,1,0
99,15.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,1
100,18.0,2.0,0,1,1,1,1,0,0,1,0,0,2,0,0,0,0,3,2,0,1,3,1,0
101,25.0,0.5,0,1,0,0,0,3,0,0,0,1,0,2,0,2,0,1,1,1,0,3,2,0
102,17.0,5.0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,1,3,2,2,2,3,1,1
103,28.0,1.0,0,0,0,1,0,1,0,3,2,0,0,0,0,0,1,1,1,0,0,2,1,0
104,20.0,3.0,1,0,0,1,1,0,0,1,0,0,1,0,2,0,1,1,2,2,1,3,2,1
105,21.0,2.0,1,1,0,1,1,2,1,0,3,0,0,1,0,0,1,3,1,0,1,2,3,0
106,41.0,3.0,1,0,0,0,1,2,0,1,1,1,3,2,1,1,0,1,3,3,2,3,0,1
107,20.0,2.0,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,3,0,1,3,2,0
108,34.0,4.0,1,0,0,1,1,1,0,2,0,0,2,1,0,0,0,3,1,0,2,2,1,1
109,21.0,3.0,1,0,1,1,0,2,1,0,2,0,0,0,0,0,0,3,3,0,0,3,1,0
110,23.0,2.0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,2,3,1,0,0,2,1,0
111,16.0,3.0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,3,2,1,0,0,0
112,19.0,4.0,1,0,0,1,0,1,1,1,1,0,2,1,1,0,0,1,3,1,2,2,2,1
113,22.0,2.0,1,1,0,1,1,2,0,0,1,0,2,2,0,2,1,1,3,2,2,3,2,0
114,19.0,8.0,1,0,0,1,1,3,0,1,0,0,2,2,3,0,3,0,3,2,1,1,1,0
115,23.0,4.0,1,0,0,1,1,1,0,2,2,0,3,1,3,2,3,1,3,3,3,2,2,0
116,23.0,2.0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3,0,0,1,2,0,0
117,22.0,1.0,0,0,1,1,0,0,0,3,0,1,2,2,0,0,0,0,3,3,2,2,0,1
118,17.0,3.0,1,0,0,1,0,1,2,2,2,0,1,1,1,0,3,2,3,3,2,3,2,1
119,28.0,0.5,0,0,0,1,0,1,2,0,3,0,1,1,0,0,0,0,2,0,1,3,1,1
120,23.0,2.0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,3,3,0,2,3,2,1
121,19.0,3.0,1,0,0,1,1,0,2,2,0,0,3,0,0,0,1,1,1,1,2,3,2,0
122,17.0,2.0,1,1,1,1,1,1,0,2,2,0,3,2,1,1,1,3,1,1,3,3,0,1
123,21.0,1.0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,3,2,1,2,2,3,1,0
124,29.0,5.0,1,0,0,1,1,1,0,0,1,0,0,3,0,1,1,1,0,2,0,3,2,0
125,22.0,10.0,0,1,1,0,1,2,2,3,3,0,0,1,0,0,0,1,0,1,0,2,2,1
126,18.0,4.0,1,1,1,1,1,2,1,2,1,0,1,2,2,2,2,3,3,1,1,3,3,0
